athlete_id,athlete_name,gender,age,date_of_birth,nationality,country_name,sport,event,games_type,year,host_city,team_or_individual,medal,result_value,result_unit,total_olympics_attended,total_medals_won,gold_medals,silver_medals,bronze_medals,country_total_gold,country_total_medals,country_first_participation,country_best_rank,is_record_holder,coach_name,height_cm,weight_kg,notes
ATH-00077,Oleksandr Petrov,Male,40,1984-10-05,GRE,Greece,Short Track Speed Skating,500m W,Winter,1994,Lillehammer,Team,Gold,155.446,seconds,1,7,5,2,0,34,116,1896,10,No,Gennadi Touretski,177.2,67.5,Oldest medalist
ATH-00078,Kamran Choi,Male,41,1983-08-12,ARG,Argentina,Short Track Speed Skating,500m M,Winter,1948,St. Moritz,Team,No Medal,49.613,seconds,2,6,4,1,1,23,77,1920,30,No,Bao Chünlai,168.4,54.4,-
ATH-00079,Franz Dinu,Male,37,1987-03-25,HUN,Hungary,Biathlon,Individual W,Winter,1948,St. Moritz,Individual,No Medal,1644.611,seconds,3,0,0,0,0,182,536,1896,5,No,Jon Drummond,169.9,63.5,Olympic Debut
ATH-00080,Karen Bekele,Female,41,1983-08-20,BUL,Bulgaria,Cycling,BMX Racing,Summer,1906,Athens,Individual,Gold,5327.836,seconds,2,8,3,5,0,54,224,1896,15,No,Glen Mills,175.9,55.0,-
ATH-00081,Tsend-Ochir Nozadze,Male,32,1992-09-26,ESP,Spain,Wrestling,Greco-Roman 97kg,Summer,2000,Sydney,Individual,No Medal,3.283,points,1,6,6,0,0,50,170,1900,18,World Record,Virgilijus Alekna,181.5,133.5,National Record
ATH-00082,Razvan Yuldashev,Male,38,1986-06-05,SNG,Singapore,Cross-Country Skiing,Sprint M,Winter,1960,Squaw Valley,Team,No Medal,7331.754,seconds,4,5,5,0,0,1,5,1948,62,Olympic Record,Vladimir Alekna,194.4,70.8,Oldest medalist
ATH-00083,Bogdan Petrov,Male,16,2008-06-10,SWE,Sweden,Gymnastics (Artistic),All-Around,Summer,1908,London,Individual,No Medal,13.606,points,1,8,7,1,0,200,648,1896,4,No,Li Yongbo,171.4,46.7,-
ATH-00084,Ayana Wanjiku,Female,38,1986-08-13,ITA,Italy,Biathlon,Sprint W,Winter,1964,Innsbruck,Individual,No Medal,1573.639,seconds,5,7,7,0,0,247,753,1900,4,No,Bao Chünlai,171.5,61.1,Disqualified (false start)
ATH-00085,Carlos Esposito,Male,24,2000-08-20,FRA,France,Taekwondo,-80kg M,Summer,1912,Stockholm,Individual,Bronze,9.608,points,1,7,5,1,1,248,844,1896,3,No,Hiroshi Hoketsu,184.9,90.9,Season Best
ATH-00086,Priya Amiranashvili,Female,40,1984-12-22,RSA,South Africa,Weightlifting,67kg,Summer,2008,Beijing,Individual,No Medal,355.807,kg,1,2,2,0,0,23,90,1904,30,No,Andrei Chemerkin,160.0,77.4,Season Best
ATH-00087,Anjali Kowalczyk,Female,39,1985-02-19,KEN,Kenya,Basketball,Women's Basketball,Summer,2008,Beijing,Team,No Medal,12.442,points,2,6,2,2,2,38,109,1956,20,No,Yury Zakharevich,213.2,71.6,Olympic Debut
ATH-00088,Natalya Rossi,Female,37,1987-08-07,RUS,Russia,Canoe/Kayak,K-1 1000m M,Summer,2016,Rio de Janeiro,Individual,Silver,583.456,seconds,4,2,1,1,0,194,531,1994,2,No,Tadashi Suzuki,197.9,92.4,Comeback after injury
ATH-00089,Giulia Yamamoto,Female,37,1987-12-23,AUT,Austria,Weightlifting,67kg,Summer,2000,Sydney,Individual,No Medal,302.908,kg,2,8,3,0,5,59,196,1896,18,No,Andrei Chemerkin,186.7,77.5,Comeback after injury
ATH-00090,Daniel Rodriguez,Male,27,1997-12-24,SWE,Sweden,Curling,Women's Curling,Winter,1998,Nagano,Team,No Medal,5.95,points,2,6,6,0,0,200,648,1896,4,No,Franz Stampfl,194.2,90.7,Final Appearance
ATH-00091,Rahul Sargsyan,Male,42,1982-01-27,MAS,Malaysia,Judo,Half-Lightweight,Summer,2016,Rio de Janeiro,Individual,No Medal,9.527,ippon,3,4,1,1,2,0,12,1956,58,No,Jon Drummond,192.6,59.7,National Record
ATH-00092,Kimberly Romano,Female,34,1990-09-03,RSA,South Africa,Canoe/Kayak,Canoe Slalom K-1 M,Summer,1906,Athens,Individual,No Medal,519.69,seconds,5,2,0,2,0,23,90,1904,30,No,Bao Chünlai,188.2,84.2,Personal Best
ATH-00093,Ketevan Kim,Female,39,1985-10-14,GRE,Greece,Wrestling,Greco-Roman 130kg,Summer,1896,Athens,Individual,No Medal,4.655,points,4,7,4,2,1,34,116,1896,10,No,Wei Ping,167.1,119.6,Season Best
ATH-00094,Dafne Kuznetsov,Female,25,1999-10-05,GRE,Greece,Volleyball,Men's Beach Volleyball,Summer,1996,Atlanta,Team,No Medal,19.041,points,4,5,5,0,0,34,116,1896,10,No,Sandor Szabo,175.2,79.8,Olympic Debut
ATH-00095,Anthony Jackson,Male,24,2000-07-28,KOR,South Korea,Triathlon,Mixed Relay,Summer,1996,Atlanta,Individual,No Medal,5555.954,seconds,2,2,1,1,0,99,266,1948,5,No,Jon Drummond,187.4,68.5,Photo-finish silver
ATH-00096,Irina Lee,Female,33,1991-06-02,CUB,Cuba,Swimming,100m Freestyle,Summer,1900,Paris,Individual,No Medal,704.13,seconds,1,7,4,0,3,82,226,1900,8,No,Franz Stampfl,181.2,90.3,Season Best
ATH-00097,Camelia Rossi,Female,17,2007-07-17,NED,Netherlands,Ice Hockey,Women's Ice Hockey,Winter,1928,St. Moritz,Team,No Medal,9.539,goals,2,4,4,0,0,121,380,1900,7,No,Franz Stampfl,199.3,87.0,Final Appearance
ATH-00098,Monika Anderson,Female,16,2008-01-05,NZL,New Zealand,Tennis,Men's Doubles,Summer,2004,Athens,Individual,No Medal,5.657,sets,5,8,7,0,1,46,116,1908,25,No,Percy Cerutty,195.9,60.6,-
ATH-00099,Gunel Enkhtaivan,Female,24,2000-08-27,BUL,Bulgaria,Fencing,Foil Individual M,Summer,2004,Athens,Team,No Medal,11.1,touches,1,1,1,0,0,54,224,1896,15,No,Glen Mills,183.5,65.6,-
ATH-00100,Vahram Bekele,Male,21,2003-01-15,ROM,Romania,Figure Skating,Pairs,Winter,1948,St. Moritz,Individual,No Medal,234.889,points,4,6,5,0,1,89,307,1924,8,No,Anna Tarkhanova,171.6,66.4,Season Best
ATH-00101,Salome Kovalenko,Female,31,1993-07-11,CAN,Canada,Football (Soccer),Men's Football,Summer,2000,Sydney,Team,No Medal,3.698,goals,3,8,5,2,1,118,381,1900,6,No,Renato Canova,182.5,65.8,Weather-affected
ATH-00102,Christine Kovalenko,Female,26,1998-09-26,CAN,Canada,Taekwondo,-58kg M,Summer,2012,London,Individual,No Medal,5.066,points,3,8,6,1,1,118,381,1900,6,No,Wei Ping,193.3,86.0,National Record
ATH-00103,Siranush Kovalenko,Female,21,2003-04-27,EGY,Egypt,Cross-Country Skiing,10km W,Winter,1988,Calgary,Team,No Medal,599.274,seconds,1,8,4,1,3,8,28,1912,45,No,Renato Canova,182.7,74.4,-
ATH-00104,Claire Dinu,Female,18,2006-11-25,GBR,Great Britain,Archery,Individual W,Summer,1896,Athens,Individual,Gold,259.27,points,4,8,2,3,3,285,896,1896,2,No,Vladimir Alekna,176.8,63.0,National Record
ATH-00105,Elmar Watanabe,Male,28,1996-03-02,KAZ,Kazakhstan,Archery,Team W,Summer,2000,Sydney,Team,No Medal,295.707,points,1,2,2,0,0,21,66,1996,30,No,Sandor Szabo,162.3,77.7,-
ATH-00106,Sofia Volkov,Female,40,1984-02-11,RSA,South Africa,Freestyle Skiing,Ski Cross M,Winter,1948,St. Moritz,Individual,No Medal,84.078,points,3,4,1,0,3,23,90,1904,30,No,Li Yongbo,183.7,74.9,-
ATH-00107,Lisa Wanjiku,Female,36,1988-02-06,TUR,Turkey,Ice Hockey,Men's Ice Hockey,Winter,1984,Sarajevo,Team,No Medal,11.448,goals,4,3,0,2,1,40,99,1908,22,No,Anna Tarkhanova,177.1,100.6,-
ATH-00108,Svetlana Kwon,Female,16,2008-11-04,TUR,Turkey,Athletics,Pole Vault,Summer,1908,London,Individual,No Medal,116.272,seconds,1,6,5,1,0,40,99,1908,22,No,Dan Pfaff,190.5,106.7,Photo-finish silver
ATH-00109,Almaz Babayev,Female,30,1994-09-26,KAZ,Kazakhstan,Basketball,Women's Basketball,Summer,1996,Atlanta,Team,No Medal,38.151,points,1,1,1,0,0,21,66,1996,30,No,Alberto Salazar,211.3,76.7,-
ATH-00110,Sandra Kuznetsov,Female,37,1987-10-16,NED,Netherlands,Basketball,Men's Basketball,Summer,1904,St. Louis,Team,No Medal,7.309,points,2,7,0,7,0,121,380,1900,7,No,Virgilijus Alekna,193.1,97.4,Weather-affected
